codigo;sexo;edad;nombre;apellidos;direccion
A002001;Masculino;40;Víctor;González Elías;Avenida de América, Guindalera, Salamanca, Madrid, Community of Madrid, 28002, Spain
A002002;Femenino;36;María Carmen;Maura Requena;247V, Calle Imprenta de la Alborada, Polígono Industrial Las Quemadas, Córdoba, Andalucía, 14014, España
A002003;Masculino;32;Vicente;Domínguez Aroca;Calle Doctor Barnard, El Señorío de Guzmán, Castilleja de Guzmán, Sevilla, Andalucía, 41907, España
A002004;Femenino;27;Concepción;Hernández Polo;19, Calle Poeta Alfonso Camín, El Llano, Distrito Llano, Gijón/Xixón, Asturias / Asturies, 33209, España
A002005;Masculino;50;Enrique;Gallego Cuesta;Alimerka, Calle Poeta Luis Álvarez Piñer, Contrueces, Distrito Sur, Gijón/Xixón, Asturias / Asturies, 33210, España
A002006;Masculino;28;Marc;Flors Domínguez;Salinas, Piedrasblancas, Castrillón, Asturias / Asturies, 33405, España
A002007;Masculino;30;José;Fernández Navarro;Muíño de Vilas, Ponte dos Capitáns, O Campo do Amo, Santiago de Compostela, As Fontiñas, Santiago de Compostela, Santiago, A Coruña, Galicia, 15700, España
A002008;Masculino;40;Jaime;Fernández Montañez;Avenida de Gonzalo Torrente Ballester, A Agra do Vieiro, Santiago de Compostela, As Casas da Hedra, Santiago de Compostela, Santiago, A Coruña, Galicia, 15781, España
A002009;Masculino;34;Daniel;Doumbia Gómez;Institut d'Educación Secundaria Honori Garcia, 2, Carrer de l'Institut, Colonia Segarra, la Vall d'Uixó, la Plana Baixa, Castelló / Castellón, Comunitat Valenciana, 12600, España
A002010;Femenino;38;Sara;Pérez Guillen;Masymas, Carrer de Luis Cendoya, el Port de Sagunt, Sagunt / Sagunto, el Camp de Morvedre, València / Valencia, Comunitat Valenciana, 46520, España
